names,scores,logfoldchanges,pvals,pvals_adj,is_TE
MER21B:TE,6.20567,0.17397875,5.446435617204838e-10,7.44734406165111e-09,True
MER113A:TE,4.200021,0.17288208,2.6689055583490194e-05,0.0002375302237375,True
MLT1E2:TE,6.500748,0.17256851,7.992145217265426e-11,1.155938039003428e-09,True
MLT1H2:TE,3.9972627,0.17157601,6.40791517353113e-05,0.0005437320455688,True
L1P4a:TE,6.68612,0.17148452,2.291649105054105e-11,3.4232362749702354e-10,True
L1M3f:TE,6.411747,0.16979146,1.4386147597790343e-10,2.0530658407008014e-09,True
MLT1J:TE,6.9084196,0.16975997,4.900829488641125e-12,7.580773560530571e-11,True
MLT1D-int:TE,4.639377,0.16876084,3.4946102134361424e-06,3.4470137828954135e-05,True
L1PB3:TE,8.695125,0.16685073,3.4644923038689168e-18,7.1026818685389e-17,True
LTR79:TE,3.325857,0.1658282,0.0008814714619798,0.0063107729370666,True
THE1D-int:TE,6.4066725,0.16462679,1.4872974631951747e-10,2.1195222975974862e-09,True
HERVL-int:TE,5.633379,0.16395597,1.7671249936525776e-08,2.1519830504144335e-07,True
L1MA8:TE,14.466711,0.16369799,1.966527603988545e-47,8.615741565288009e-46,True
MLT1G1:TE,4.7328115,0.1554074,2.2143114359789738e-06,2.2302657576524148e-05,True
MER4B-int:TE,5.3850284,0.15473919,7.24331916331153e-08,8.346354169266093e-07,True
LTR48B:TE,2.9700613,0.153443,0.0029774043789918,0.0193734333428447,True
Tigger2b_Pri:TE,5.5026054,0.1520232,3.7421923412684895e-08,4.436749144647907e-07,True
MER112:TE,5.003679,0.15093139,5.624643799623246e-07,5.990385166466218e-06,True
L1MDb:TE,4.791155,0.15055092,1.658242432856885e-06,1.685440524839827e-05,True
MER4-int:TE,5.551352,0.14917018,2.834682892394549e-08,3.390226594943023e-07,True
MER20B:TE,5.1620655,0.1487535,2.4423984084270617e-07,2.6977686205540365e-06,True
MER44A:TE,4.97951,0.14620578,6.374549170094768e-07,6.760306115285754e-06,True
Tigger20a:TE,3.83245,0.1441593,0.0001268734244168,0.0010350653558223,True
L1M3de:TE,5.500166,0.1423088,3.7943404547810393e-08,4.4914888683908683e-07,True
MER20:TE,5.881581,0.14218828,4.063665479468337e-09,5.228316180882743e-08,True
L1MA4A:TE,11.631912,0.13834324,2.836698217266394e-31,8.75328181929584e-30,True
L1ME4a:TE,12.493517,0.13820583,8.099298798607024e-36,2.7819934330529604e-34,True
MER46C:TE,4.642975,0.1377746,3.4342809405640128e-06,3.3897311549639214e-05,True
MLT1F1:TE,3.9749045,0.13735151,7.040746108096936e-05,0.000594409056963,True
MLT1B-int:TE,3.9626658,0.1366018,7.411750753411488e-05,0.0006241528968724,True
