TE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,TE_family,TE_class,significance
Harlequin-int:ERV1:LTR,1174.07589842001,-0.212066658375564,0.110651276376376,-1.91653151522833,0.0552974757235525,0.9962736297742,ERV1,Harlequin-int,Not significant
LTR86A2:ERVL:LTR,306.724813809618,0.183338510326067,0.0959940869480672,1.90989378778354,0.0561468900955821,0.9962736297742,ERVL,LTR86A2,Not significant
Tigger2b_Pri:TcMar-Tigger:DNA,1682.70740832023,-0.149294914894343,0.0789846975633701,-1.89017517949679,0.0587345350710207,0.9962736297742,TcMar-Tigger,Tigger2b_Pri,Not significant
(CATTC)n:Satellite:Satellite,2.10525001438555,1.69036149745651,0.894537216733233,1.8896491569457,0.0588048981556674,0.9962736297742,Satellite,(CATTC)n,Not significant
LTR60:ERV1:LTR,6.33831148108027,0.892613163304955,0.478074039751752,1.86710235044023,0.0618872962620882,0.9962736297742,ERV1,LTR60,Not significant
MER44A:TcMar-Tigger:DNA,2520.53765021031,-0.130786400167766,0.0703110675230327,-1.86011114288548,0.0628698030038671,0.9962736297742,TcMar-Tigger,MER44A,Not significant
MER75B:PiggyBac:DNA,40.6793120578008,-0.343138055481379,0.184999132302198,-1.85480899943281,0.0636235064643853,0.9962736297742,PiggyBac,MER75B,Not significant
UCON28a:UCON28a:Unknown,118.038420965357,-0.23752100033991,0.128103401093756,-1.85413500587759,0.0637198476625624,0.9962736297742,UCON28a,UCON28a,Not significant
UCON56:UCON56:Unknown,2.61544041388837,1.3991141763979,0.756684728436771,1.84900543623805,0.0644570277479679,0.9962736297742,UCON56,UCON56,Not significant
Tigger3b:TcMar-Tigger:DNA,7697.02908845085,-0.0977161131844832,0.0530616385836806,-1.84155853065827,0.0655397516453791,0.9962736297742,TcMar-Tigger,Tigger3b,Not significant
MADE2:TcMar-Mariner:DNA,1096.40287451884,-0.0985725600296327,0.0549120324203813,-1.79509946517744,0.0726378539779033,0.9962736297742,TcMar-Mariner,MADE2,Not significant
Charlie19a:hAT-Charlie:DNA,1934.98597404427,0.154025492839985,0.0858180065488278,1.79479224738633,0.072686806468885,0.9962736297742,hAT-Charlie,Charlie19a,Not significant
Ricksha:MULE-MuDR:DNA,366.917275220268,-0.194236929887644,0.108962084217367,-1.78261026560544,0.0746497675945093,0.9962736297742,MULE-MuDR,Ricksha,Not significant
MER2B:TcMar-Tigger:DNA,740.374212916779,-0.115190227871788,0.066482699785896,-1.73263462889973,0.0831606302604012,0.9962736297742,TcMar-Tigger,MER2B,Not significant
MER97d:hAT-Tip100:DNA,210.245874167651,-0.174760825908883,0.100985313378842,-1.73055685090835,0.0835308332337765,0.9962736297742,hAT-Tip100,MER97d,Not significant
AluYk4:Alu:SINE,281.804972318694,0.117426080092761,0.0678937114019743,1.7295575343867,0.0837093587166692,0.9962736297742,Alu,AluYk4,Not significant
LTR16A2:ERVL:LTR,1172.54417316723,0.140107111684555,0.0821264491431526,1.7059925656878,0.08800946376536,0.9962736297742,ERVL,LTR16A2,Not significant
Arthur1C:hAT-Tip100:DNA,238.494608732011,0.159461406460255,0.0935075836313483,1.70533127119324,0.0881326585430853,0.9962736297742,hAT-Tip100,Arthur1C,Not significant
AluYi6_4d:Alu:SINE,28.3873830352159,0.363071498959317,0.213052026765652,1.70414477848962,0.088354042779651,0.9962736297742,Alu,AluYi6_4d,Not significant
MER61F:ERV1:LTR,139.231648637761,0.191012453331621,0.112580681407916,1.69667167530744,0.0897587505825218,0.9962736297742,ERV1,MER61F,Not significant
