names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
LTR57-int,-0.029181503,-0.114112474,0.9767198341740991,1.0,LTR57-int,LTR,LTR
L4_B_Mam,-0.029537374,-0.036698136,0.9764360117706156,1.0,L4_B_Mam,Unknown,Unknown
LTR1C,-0.030249119,-1.9587379,0.9758683759497316,1.0,LTR1C,LTR,LTR
LTR72B,-0.030249119,-1.007183,0.9758683759497316,1.0,LTR72B,LTR,LTR
MER5B,-0.031316735,0.14137278,0.9750169452222842,1.0,MER5B,LTR,LTR
AluSg7,-0.034519583,0.24551074,0.9724628277164125,1.0,AluSg7,Alu,SINE
LTR35,-0.03772243,0.014122001,0.9699089925803878,1.0,LTR35,LTR,LTR
ORSL-2a,-0.040569406,-0.12211455,0.9676391751063377,1.0,ORSL-2a,Unknown,Unknown
L1MB5,-0.040925276,-0.10176306,0.967355465977778,1.0,L1MB5,LINE-1,LINE
LTR12E,-0.04128115,-0.025866639,0.9670717609811731,1.0,LTR12E,LTR,LTR
MER34D,-0.04199289,-0.25394306,0.9665043635273025,1.0,MER34D,LTR,LTR
LTR8A,-0.042348765,-0.31573,0.9662206711417701,1.0,LTR8A,LTR,LTR
LTR19-int,-0.042704638,-0.1608029,0.9659369830316594,1.0,LTR19-int,LTR,LTR
Eulor5B,-0.044128124,-0.37722084,0.9648022740626606,1.0,Eulor5B,Unknown,Unknown
HERV1_LTRc,-0.04483987,-1.4737301,0.9642349461630416,1.0,HERV1_LTRc,LTR,LTR
LTR38B,-0.04483987,-0.36659056,0.9642349461630416,1.0,LTR38B,LTR,LTR
UCON21,-0.04483987,-1.7402604,0.9642349461630416,1.0,UCON21,Unknown,Unknown
Eulor10,-0.04483987,-1.4236909,0.9642349461630416,1.0,Eulor10,Unknown,Unknown
MLT1E1A-int,-0.04483987,-1.1860498,0.9642349461630416,1.0,MLT1E1A-int,LTR,LTR
L1P,-0.04483987,-0.847292,0.9642349461630416,1.0,L1P,LINE-1,LINE
LOR1-int,-0.046263356,-0.17609292,0.963100344967703,1.0,LOR1-int,Unknown,Unknown
Eulor9A,-0.046263356,-0.36827257,0.963100344967703,1.0,Eulor9A,Unknown,Unknown
Tigger17a,-0.046975102,0.014348788,0.9625330722455565,1.0,Tigger17a,Unknown,Unknown
MamGypLTR1d,-0.04733097,0.0066213747,0.9622494429788191,1.0,MamGypLTR1d,LTR,LTR
LTR39-int,-0.047686845,-0.44509187,0.9619658184894266,1.0,LTR39-int,LTR,LTR
MER2,-0.051245563,0.022543766,0.9591298442330314,1.0,MER2,LTR,LTR
LTR26C,-0.053380795,0.24357179,0.9574285056165769,1.0,LTR26C,LTR,LTR
Charlie7,-0.054804284,-0.011960613,0.956294387121598,1.0,Charlie7,Unknown,Unknown
MLT1B,-0.054804284,0.026343789,0.956294387121598,1.0,MLT1B,LTR,LTR
L1PA5,-0.054804284,0.08949308,0.956294387121598,1.0,L1PA5,LINE-1,LINE
HERVS71-int,-0.05765126,-0.37967694,0.9540264178408246,1.0,HERVS71-int,Unknown,Unknown
Eulor5A,-0.05978649,-0.623377,0.9523256841445309,1.0,Eulor5A,Unknown,Unknown
MLT2B5,-0.060498238,-0.33906046,0.9517588207750042,1.0,MLT2B5,LTR,LTR
LTR81,-0.06263347,-0.7161722,0.9500583782598511,1.0,LTR81,LTR,LTR
HAL1ME,-0.06583632,0.0018499349,0.9475081432687028,1.0,HAL1ME,Unknown,Unknown
FordPrefect,-0.06654806,-0.3595548,0.946941496485113,1.0,FordPrefect,Unknown,Unknown
MER83,-0.069750905,-0.350398,0.9443919222129311,1.0,MER83,LTR,LTR
MER9a1,-0.069750905,-0.15145709,0.9443919222129311,1.0,MER9a1,LTR,LTR
MERX,-0.07188614,-0.08997378,0.9426925208223014,1.0,MERX,LTR,LTR
MER44C,-0.07188614,-0.07458561,0.9426925208223014,1.0,MER44C,LTR,LTR
UCON79,-0.07259788,-0.33321038,0.942126111273071,1.0,UCON79,Unknown,Unknown
LTR5,-0.07686835,-0.894555,0.9387282785559843,1.0,LTR5,LTR,LTR
LTR14B,-0.07686835,-0.33496356,0.9387282785559843,1.0,LTR14B,LTR,LTR
AluYe6,-0.077580094,-0.1575812,0.9381620798620965,1.0,AluYe6,Alu,SINE
MER102c,-0.077580094,-0.017763661,0.9381620798620965,1.0,MER102c,LTR,LTR
MLT1I-int,-0.07900358,0.005041476,0.9370297765484468,1.0,MLT1I-int,LTR,LTR
LTR23,-0.08185055,-0.2620214,0.934765554197833,1.0,LTR23,LTR,LTR
MER72,-0.08220643,-0.3166437,0.934482563124427,1.0,MER72,LTR,LTR
MamGypLTR3,-0.0825623,-0.2650311,0.9341995803297933,1.0,MamGypLTR3,LTR,LTR
Charlie13a,-0.08362991,-0.15253212,0.9333506819744611,1.0,Charlie13a,Unknown,Unknown
Charlie4,-0.085409276,-0.1370218,0.9319360202792711,1.0,Charlie4,Unknown,Unknown
LTR47B4,-0.088967994,-0.8138877,0.9291073462593614,1.0,LTR47B4,LTR,LTR
LTR43-int,-0.088967994,-0.55858564,0.9291073462593614,1.0,LTR43-int,LTR,LTR
Charlie12,-0.08967974,-0.9619687,0.9285417177723145,1.0,Charlie12,Unknown,Unknown
MLT1F1-int,-0.09039148,-0.7255565,0.9279761253876209,1.0,MLT1F1-int,LTR,LTR
LTR28,-0.09039148,-1.210288,0.9279761253876209,1.0,LTR28,LTR,LTR
MER94B,-0.091103226,0.02147341,0.9274105693894754,1.0,MER94B,LTR,LTR
LTR26B,-0.09217084,-0.4848705,0.9265623042385751,1.0,LTR26B,LTR,LTR
L1ME3A,-0.093950205,-0.09276233,0.9251487149443315,1.0,L1ME3A,LINE-1,LINE
MER127,-0.09750892,-0.101346835,0.9223222496653368,1.0,MER127,LTR,LTR
MamGyp-int,-0.100000024,-0.6808315,0.9203443053371442,1.0,MamGyp-int,Unknown,Unknown
L4_C_Mam,-0.102847,-0.0025028982,0.918084401505034,1.0,L4_C_Mam,Unknown,Unknown
LTR108b_Mam,-0.105338104,-23.089025,0.9161075277589436,1.0,LTR108b_Mam,LTR,LTR
Eulor6B,-0.105338104,-22.262354,0.9161075277589436,1.0,Eulor6B,Unknown,Unknown
LTR108d_Mam,-0.105338104,-23.308086,0.9161075277589436,1.0,LTR108d_Mam,LTR,LTR
LTR06,-0.105338104,-23.443827,0.9161075277589436,1.0,LTR06,LTR,LTR
Eulor11,-0.105338104,-23.826603,0.9161075277589436,1.0,Eulor11,Unknown,Unknown
UCON7,-0.105338104,-23.18532,0.9161075277589436,1.0,UCON7,Unknown,Unknown
LTR23-int,-0.10676159,-0.64868736,0.9149781177168912,1.0,LTR23-int,LTR,LTR
MamRep1894,-0.107473336,-0.3347086,0.9144134769148698,1.0,MamRep1894,Unknown,Unknown
LTR45B,-0.10889682,-0.5096723,0.9132843251626036,1.0,LTR45B,LTR,LTR
LTR75_1,-0.110320315,-0.85978675,0.912155348430296,1.0,LTR75_1,LTR,LTR
Tigger17c,-0.110676184,-0.16014436,0.9118731318589761,1.0,Tigger17c,Unknown,Unknown
UCON33,-0.1142349,-0.013594133,0.9090515833115231,1.0,UCON33,Unknown,Unknown
MER83B-int,-0.11530252,-0.5018803,0.9082053407710231,1.0,MER83B-int,LTR,LTR
HERVK14-int,-0.116370134,-0.320204,0.907359202395549,1.0,HERVK14-int,Unknown,Unknown
LTR14A,-0.118505366,-0.6056877,0.9056672419452837,1.0,LTR14A,LTR,LTR
MER65B,-0.11921711,-0.72802716,0.9051033498804155,1.0,MER65B,LTR,LTR
